,Observation_ID,Station,Instrument,Center_Frequencies,Size_MB,File_Label,Start_UTC,End_UTC,Direct_Download_URL
37,167183,JJmp,Wsprdaemon-Beel...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",22.4104,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167183/
38,167187,K3LR,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",36.3570,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167187/
39,167189,g4zfq_Alan,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",18.1058,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167189/
40,167190,n5tnl-rx888,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",44.5977,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167190/
41,167192,KFS_SW,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",25.2724,OBS2026-05-20T00-00,2026-05-20 00:00:00,2026-05-20 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167192/
42,167079,pa0rwt Grape-1 DRF,Flex-1500,14.670 MHz,34.1650,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167079/
43,167085,W1EUJ,RX888_Palomar,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",4.3832,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167085/
44,167091,AC0G_ND,RX888_ND,"10.000 MHz, 5.000 MHz, 15.000 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",30.6327,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167091/
45,167092,KFS_NW,NW RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",7.3088,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167092/
46,167093,KV0S_MO,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",26.4661,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167093/
47,167095,N4RVE,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",9.2950,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167095/
48,167098,G4HZX-Main,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.1936,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167098/
49,167099,AC0G_B2,RX888-ka9q,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.9438,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167099/
50,167100,G4HZX-Loop,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.9114,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167100/
51,167104,K9TRV-WSPR-RX888-2,RX888-mk2 #2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.5771,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167104/
52,167107,Marahau,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",17.4134,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167107/
53,167110,K9TRV RX888-1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",28.2923,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167110/
54,167111,CAZ_KE2FDW,RX-888 MK II - ...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",28.6701,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167111/
55,167113,JJmp,Wsprdaemon-Beel...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",22.2016,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167113/
56,167114,WA2TP-2,RX888#1,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",35.3507,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167114/
57,167115,K9TRV-WSPR-RX888-3,RX888-mk2 #3,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",32.0040,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167115/
58,167118,g4zfq_Alan,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",17.4648,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167118/
59,167120,N2YCH,RX888,"10.000 MHz, 5.000 MHz, 15.000 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",33.1008,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167120/
60,167122,K3LR,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",35.6742,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167122/
61,167123,n5tnl-rx888,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",38.1932,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167123/
62,167127,KFS_SW,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",30.7804,OBS2026-05-19T00-00,2026-05-19 00:00:00,2026-05-19 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167127/
63,167015,pa0rwt Grape-1 DRF,Flex-1500,14.670 MHz,34.1753,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-19 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167015/
64,167016,W1EUJ,RX888_Palomar,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",4.3456,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167016/
65,167027,N4RVE,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",4.9796,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167027/
66,167030,AC0G_B2,RX888-ka9q,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.7545,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167030/
67,167031,KFS_NW,NW RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",7.5398,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167031/
68,167034,WA2TP-2,RX888#1,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",34.9611,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167034/
69,167035,AC0G_ND,RX888_ND,"10.000 MHz, 5.000 MHz, 15.000 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.1237,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167035/
70,167037,G4HZX-Main,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.3036,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167037/
71,167038,G4HZX-Loop,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.9965,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167038/
72,167042,KV0S_MO,rx888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",27.6180,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167042/
73,167046,Marahau,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",16.8537,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167046/
74,167049,JJmp,Wsprdaemon-Beel...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",21.8380,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167049/
75,167050,K9TRV-WSPR-RX888-2,RX888-mk2 #2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.5218,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167050/
76,167051,K9TRV RX888-1,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",28.2810,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167051/
77,167052,g4zfq_Alan,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",17.7729,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167052/
78,167053,K9TRV-WSPR-RX888-3,RX888-mk2 #3,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",31.5955,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167053/
79,167056,CAZ_KE2FDW,RX-888 MK II - ...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",28.5774,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167056/
80,167058,K3LR,RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",36.1431,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167058/
81,167060,N2YCH,RX888,"10.000 MHz, 5.000 MHz, 15.000 MHz, 20.000 MHz, 25.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",32.7295,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167060/
82,167063,KFS_SW,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",29.9280,OBS2026-05-18T00-00,2026-05-18 00:00:00,2026-05-18 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/167063/
83,166926,pa0rwt Grape-1 DRF,Flex-1500,14.670 MHz,34.1752,OBS2026-05-17T00-00,2026-05-17 00:00:00,2026-05-18 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/166926/
84,166930,KFS_NW,NW RX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",7.1423,OBS2026-05-17T00-00,2026-05-17 00:00:00,2026-05-17 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/166930/
