Observation_ID,Station,Instrument,Center_Frequencies,Size_MB,File_Label,Start_UTC,End_UTC,Direct_Download_URL,Scraped_Page
105310,K9TRV-WSPR-RX888-2,RX888-mk2 #2,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",30.0445,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105310/,300
105319,KFS_SW,RX888,"5.000 MHz, 2.500 MHz, 3.330 MHz",26.3826,OBS2025-08-12T00-00,2025-08-12 00:00:00,2025-08-12 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105319/,300
128773,N8OBJ Node 1032,Grape 2,3.330 MHz,3.5448,2025-08-12T000000Z_N0001032_G2R1_EN91fh_FRQ_CHU3.csv,2025-08-12 00:00:00,2025-08-12 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/128773/,301
128774,N8OBJ Node 1032,Grape 2,7.850 MHz,3.5448,2025-08-12T000000Z_N0001032_G2R2_EN91fh_FRQ_CHU7.csv,2025-08-12 00:00:00,2025-08-12 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/128774/,301
128775,N8OBJ Node 1032,Grape 2,14.670 MHz,3.6291,2025-08-12T000000Z_N0001032_G2R3_EN91fh_FRQ_CHU14.csv,2025-08-12 00:00:00,2025-08-12 00:00:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/128775/,301
105188,AC0G_ND,RX888_ND,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",1.9910,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105188/,301
105190,WPHAM,RX888 w/ TAPR m...,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",4.6557,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105190/,301
105191,ADKSILO,SiloRX888,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",20.5742,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105191/,301
105192,pa0rwt Grape-1 DRF,Flex-1500,14.670 MHz,34.1651,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105192/,301
105193,Maasbree,Receiver,"10.000 MHz, 5.000 MHz, 2.500 MHz, 15.000 MHz, 20.000 MHz, 3.330 MHz, 7.850 MHz, 14.670 MHz",9.0357,OBS2025-08-11T00-00,2025-08-11 00:00:00,2025-08-11 23:59:00,https://pswsnetwork.eng.ua.edu/observations/select_download_range/105193/,301
